ticker,exchange,assetType,priceCurrency,startDate,endDate
000061,SHE,Stock,CNY,2000-01-11,2018-06-06
000062,SHE,Stock,CNY,2000-01-03,2018-06-06
000063,SHE,Stock,CNY,2018-01-02,2018-04-16
000065,SHE,Stock,CNY,2018-01-02,2018-06-06
000066,SHE,Stock,CNY,2000-01-03,2018-06-06
000068,SHE,Stock,CNY,2007-08-30,2018-06-06
000069,SHE,Stock,CNY,2018-01-02,2018-06-06
000070,SHE,Stock,CNY,2018-01-02,2018-06-06
000078,SHE,Stock,CNY,2000-01-03,2018-06-06
000088,SHE,Stock,CNY,2000-01-03,2018-06-06
000089,SHE,Stock,CNY,2000-01-03,2018-06-06
000090,SHE,Stock,CNY,2018-01-02,2018-06-06
000096,SHE,Stock,CNY,2018-01-02,2018-06-06
000099,SHE,Stock,CNY,2018-01-02,2018-06-06
000100,SHE,Stock,CNY,2004-02-02,2018-06-06
000150,SHE,Stock,CNY,2000-08-08,2018-06-06
000151,SHE,Stock,CNY,2018-01-02,2018-06-06
000153,SHE,Stock,CNY,2018-01-02,2018-06-06
000155,SHE,Stock,CNY,2018-01-02,2018-06-06
000156,SHE,Stock,CNY,2012-10-19,2018-04-24
000157,SHE,Stock,CNY,2018-01-02,2018-06-06
000158,SHE,Stock,CNY,2018-01-02,2018-05-29
000159,SHE,Stock,CNY,2000-09-25,2018-06-06
000166,SHE,Stock,CNY,2018-01-02,2018-06-06
000301,SHE,Stock,CNY,2018-01-02,2018-06-06
000333,SHE,Stock,CNY,2000-01-03,2018-06-06
000338,SHE,Stock,CNY,2018-01-02,2018-06-06
000400,SHE,Stock,CNY,2018-01-02,2018-06-06
000401,SHE,Stock,CNY,2018-01-16,2018-06-06
000402,SHE,Stock,CNY,2000-01-03,2018-06-06
000403,SHE,Stock,CNY,2013-02-08,2018-06-06
000404,SHE,Stock,CNY,2018-01-02,2018-06-06
000407,SHE,Stock,CNY,2000-01-04,2018-06-06
000408,SHE,Stock,CNY,2018-01-02,2018-06-06
000409,SHE,Stock,CNY,2018-01-02,2018-04-27
000410,SHE,Stock,CNY,2000-01-03,2018-06-06
000411,SHE,Stock,CNY,2018-01-02,2018-06-06
000413,SHE,Stock,CNY,2000-01-03,2018-06-06
000415,SHE,Stock,CNY,2007-08-30,2018-01-16
000416,SHE,Stock,CNY,2000-01-03,2018-06-06
000417,SHE,Stock,CNY,2018-01-02,2018-06-06
000418,SHE,Stock,CNY,2000-01-03,2018-06-06
000419,SHE,Stock,CNY,2000-01-03,2018-06-06
000420,SHE,Stock,CNY,2000-01-03,2018-06-06
000421,SHE,Stock,CNY,2000-01-03,2018-06-06
000422,SHE,Stock,CNY,2018-01-02,2018-06-06
